headline,true_sentiment,sentiment
"Stocks surge after positive economic outlook",positivo,positivo
"Protests escalate amid political unrest in the capital",negativo,negativo
"Moderate weather expected across the country this weekend",neutro,neutro
"Tech companies report record earnings for Q2",positivo,positivo
"Rising unemployment raises concerns among economists",negativo,negativo
"Local festival draws thousands of visitors",positivo,positivo
"Government announces new tax regulations",neutro,neutro
"Natural disaster leaves several communities in crisis",negativo,negativo
"New educational reforms receive mixed reactions",neutro,neutro
"Scientists celebrate breakthrough in cancer treatment",positivo,positivo
