review_text,sentiment,cleaned_text
Excelente produto! A qualidade é incrível e vale o preço.,positivo,excelente produto! a qualidade é incrível e vale o preço.
Produto chegou danificado e não funciona corretamente.,negativo,produto chegou danificado e não funciona corretamente.
"O produto é bom, mas a entrega demorou muito.",neutro,"o produto é bom, mas a entrega demorou muito."
"Preço muito bom, super recomendo para quem precisa de algo de qualidade.",positivo,"preço muito bom, super recomendo para quem precisa de algo de qualidade."
"Não gostei do produto, não atendeu às minhas expectativas.",negativo,"não gostei do produto, não atendeu às minhas expectativas."
"Produto simples, mas cumpre o que promete.",neutro,"produto simples, mas cumpre o que promete."
"Qualidade excelente, mas o atendimento foi ruim.",negativo,"qualidade excelente, mas o atendimento foi ruim."
"Produto excelente, ótimo custo-benefício!",positivo,"produto excelente, ótimo custo-benefício!"
"A embalagem estava amassada, mas o produto é bom.",neutro,"a embalagem estava amassada, mas o produto é bom."
"Eu amei! Superou minhas expectativas, perfeito para o que eu queria.",positivo,"eu amei! superou minhas expectativas, perfeito para o que eu queria."
