review_text,true_sentiment
"Excelente produto! A qualidade é incrível e vale o preço.",positivo
"Produto chegou danificado e não funciona corretamente.",negativo
"O produto é bom, mas a entrega demorou muito.",neutro
"Preço muito bom, super recomendo para quem precisa de algo de qualidade.",positivo
"Não gostei do produto, não atendeu às minhas expectativas.",negativo
"Produto simples, mas cumpre o que promete.",neutro
"Qualidade excelente, mas o atendimento foi ruim.",negativo
"Produto excelente, ótimo custo-benefício!",positivo
"A embalagem estava amassada, mas o produto é bom.",neutro
"Eu amei! Superou minhas expectativas, perfeito para o que eu queria.",positivo
"Entrega super rápida, produto conforme descrito.",positivo
"Demorou muito para chegar e ainda veio errado.",negativo
"Nada de especial, mas cumpre o que promete.",neutro
"Muito bom, compraria novamente!",positivo
"Atendimento ruim e produto veio faltando peça.",negativo
